manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Camry,2000,236315,Nigerian used,D,Petrol,Automatic,GOLD,962000
Honda,Accord,2006,160804,Nigerian used, ,Petrol,Automatic,Grey,1130000
Toyota,Camry,2008,121984,Nigerian used,D,Petrol,Automatic,Grey (GREY),2250000
Toyota,Camry,2007,100609,Nigerian used,E,Petrol,Automatic,GOLD,1466000
Mercedes-Benz,GL450,2008,136850,Nigerian used, ,Petrol,Automatic,,3460000
Toyota,Camry,1995,244360,Nigerian used,D,Petrol,Automatic,BLACK,420000
Toyota,Camry,2012,54247,Foreign used,C,Petrol,Automatic,RED,4938000
Hyundai,Sonata,2012,112051,Foreign used,C,Petrol,Automatic,SILVER,3272500
Toyota,Corolla,2007,110170,Nigerian used, ,Petrol,Automatic,BLUE,1723600
Toyota,Corolla,2009,141529,Nigerian used,E,Petrol,Automatic,Black,2026000
Mini,Cooper,2002,319211,Nigerian used,D,Petrol,Automatic,Blue,1018000
Toyota,Highlander,2011,68731,Nigerian used,C,Petrol,Automatic,Grey,5274000
Volkswagen,Passat,2006,11,Nigerian used, ,Petrol,Automatic,Green,1130000
Ford,Explorer,2008,89682,Nigerian used, ,Petrol,Automatic,BLACK,2810000
Kia,Sportage,2009,147916,Nigerian used,E,Petrol,Automatic,,1354000
Honda,Accord Crosstour,2010,62233,Nigerian used,C,Petrol,Automatic,,2026000
Toyota,Matrix,2005,110269,Nigerian used, ,Petrol,Automatic,Black,1354000
Toyota,Camry,2002,315410,Nigerian used,E,Petrol,Automatic,ASH,1018000
Lexus,Rx 350,2010,1,Foreign used, ,Petrol,Automatic,Red,7875000
Lexus,GS 350,2008,149094,Foreign used, ,Petrol,Automatic,Black,3850000
Toyota,Venza,2009,169813,Nigerian used, ,Petrol,Automatic,Brown,3990000
Toyota,Camry,2010,78191,Foreign used, ,Petrol,Automatic,Black,2940000
Lexus,Is 250,2008,66154,Foreign used, ,Petrol,Automatic,White,4000000
Lexus,Rx 350,2007,99452,Nigerian used, ,Petrol,Automatic,Red,2625000
Toyota,Camry,2012,68884,Foreign used, ,Petrol,Automatic,Grey,4200000
Mercedes-Benz,G320,2005,204239,Nigerian used, ,Petrol,Automatic,Black,8500000
Mercedes-Benz,Ml350,2014,1,Foreign used, ,Petrol,Automatic,Black,14175000
Lexus,Es 350,2010,63861,Foreign used, ,Petrol,Automatic,Red,5100000
Mercedes-Benz,Ml350,2003,199086,Foreign used, ,Petrol,Automatic,Silver,2210000
Lexus,Lx 570,2016,11886,Foreign used, ,Petrol,Automatic,White,65100000
BMW,6 Series,2003,224961,Foreign used, ,Petrol,Automatic,Black,4950000
Toyota,Avalon,2000,245948,Nigerian used, ,Petrol,Automatic,BLACK,906000
Toyota,Highlander,2004,233569,Nigerian used,D,Petrol,Automatic,GREEN,1746000
Mercedes-Benz,C300,2010,141038,Foreign used,D,Petrol,Automatic,Black,3594000
Nissan,Maxima,2004,751123,Nigerian used,E,Petrol,Automatic,BLUE,682000
Nissan,Quest,2008,185804,Nigerian used, ,Petrol,Automatic,,1360000
Mercedes-Benz,E350,2010,65126,Nigerian used,C,Petrol,Automatic,BLACK,4490000
Audi,A6,2000,321967,Nigerian used,D,Petrol,Manual,Gray,738000
Nissan,Altima,2012,190209,Nigerian used,C,Petrol,Automatic,RED,2250000
Lexus,Es 350,2009,73033,Nigerian used, ,Petrol,Automatic,Silver,3594000
Mercedes-Benz,E350,2007,86981,Nigerian used,D,Petrol,Automatic,BLACK,1802000
Toyota,Rav4,2008,129937,Nigerian used,D,Petrol,Automatic,BLUE,2586000
Honda,Accord,2008,150026,Nigerian used,D,Petrol,Automatic,CUSTOM,1690000
Lexus,Rx,2006,82902,Nigerian used, ,Petrol,Automatic,GOLD,2698000
Chrysler,Sebring,2004,191755,Nigerian used,D,Petrol,Automatic,Silver,1130000
Lexus,Rx 330,2005,126602,Nigerian used,E,Petrol,Automatic,silver,2250000
Honda,Pilot,2011,67385,Nigerian used, ,Petrol,Automatic,SLIVER,3500000
Toyota,Highlander,2008,99005,Nigerian used, ,Petrol,Automatic,BLUE,3370000
Toyota,Avalon,2003,206142,Nigerian used,C,Petrol,Automatic,Green,1242000
Mercedes-Benz,C240,2005,208460,Nigerian used,E,Petrol,Automatic,BLUE,1354000
Chrysler,Town & Country,2005,119631,Nigerian used,D,Petrol,Automatic,WHITE,570000
Hyundai,Sonata,2011,108790,Foreign used,,,,,2485000
Toyota,Matrix,2010,87896,Foreign used, ,Petrol,Automatic,,3930000
Infiniti,Qx56,2006,166297,Foreign used, ,Petrol,Automatic,,4490000
Toyota,Land Cruiser,2007,1544,Nigerian used,D,Petrol,Automatic,Black,4490000
Toyota,Rav4,2009,143740,Nigerian used, ,Petrol,Automatic,Black,2138000
Toyota,Highlander,2006,123480,Nigerian used,D,Petrol,Automatic,,2250000
Mercedes-Benz,GL450,2007,122890,Nigerian used,D,Petrol,Automatic,Black,3034000
Toyota,Corolla,2005,78854,Foreign used, ,Petrol,Automatic,Red,2866000
Mercedes-Benz,GL450,2013,104242,Foreign used,D,Electric,Automatic,Black,16810000
Lexus,Rx 300,1999,183984,Nigerian used, ,Petrol,Automatic,GOLD,1163600
Toyota,Corolla,2004,299999,Nigerian used,D,Petrol,Automatic,Grey,1802000
Ford,Focus,2015,36765,Nigerian used,D,Petrol,Automatic,,4490000
Mitsubishi,SpaceStar,2001,133702,Nigerian used, ,Petrol,Automatic,,626000
Honda,Accord,2015,15489,Nigerian used,C,Petrol,Automatic,Grey,4378000
Lexus,GX470,2008,154032,Foreign used,D,Petrol,Automatic,SILVER,7850000
Lexus,Gx 470,2005,110044,Nigerian used,C,Petrol,Automatic,,3930000
Mercedes-Benz,C320,2004,241966,Nigerian used, ,Petrol,Automatic,Gold,1466000
Hyundai,Elantra,2008,160243,Foreign used,D,Petrol,Automatic,RED,2082000
Toyota,Venza,2010,168746,Nigerian used,C,Petrol,Automatic,Silver,6170000
Ford,Explorer,2002,275643,Nigerian used,D,Petrol,Automatic,WHITE,1130000
Toyota,Highlander,2008,67400,Nigerian used,D,Petrol,Automatic,Wine,5050000
Ford,Edge,2009,99026,Foreign used,D,Petrol,Automatic,WHITE,2250000
Hyundai,I10,2019,69077,Foreign used,C,Petrol,Automatic,GREY,2810000
Honda,Accord,2007,0,Nigerian used,,,,,1680000
Mazda,626,1998,0,Nigerian used, ,Petrol,Manual,,514000
Toyota,HiAce,2012,0,Foreign used,,,,,19000000
Toyota,Camry,2002,190561,Nigerian used,D,Petrol,Automatic,BLUE,1466000
Toyota,Camry,2002,246661,Nigerian used, ,Petrol,Automatic,BLACK,906000
Land Rover,Lr3,2006,143852,Nigerian used, ,Petrol,Automatic,BLACK,2026000
Toyota,Corolla,2016,13470,Nigerian used,C,Petrol,Automatic,BLACK,5946000
Land Rover,Range Rover Sport,2006,192990,Nigerian used,C,Petrol,Automatic,WHITE,3370000
Toyota,Corolla,2012,203694,Nigerian used, ,Petrol,Manual,Black,1410000
Toyota,Corolla,2017,86714,Foreign used,C,Petrol,Automatic,Grey,8970000
Volkswagen,Jetta,2003,236570,Nigerian used,D,Petrol,Automatic,Grey,794000
Toyota,Rav4,2007,126233,Nigerian used,C,Petrol,Automatic,,2138000
Toyota,Sienna,2008,128388,Nigerian used,E,Petrol,Automatic,BLUE,1914000
Toyota,Camry,2011,230545,Foreign used,D,Petrol,Automatic,SILVER,3930000
Toyota,Highlander,2008,104840,Nigerian used,E,Petrol,Automatic,,2922000
Toyota,Sienna,2006,320092,Nigerian used,E,Petrol,Automatic,Blue,1802000
Mercedes-Benz,GL450,2012,65444,Foreign used,C,Petrol,Automatic,,7850000
Honda,Accord,2003,203100,Nigerian used,E,Petrol,Automatic,GREY,682000
Honda,Accord,2003,108581,Nigerian used, ,Petrol,Automatic,Gold,738000
Lexus,Gx460,2015,45889,Nigerian used,D,Petrol,Automatic,,16810000
Toyota,Venza,2011,70536,Nigerian used,C,Petrol,Automatic,BLACK,2978000
Mercedes-Benz,C230,2006,126999,Nigerian used,C,Petrol,Automatic,Black,2698000
Toyota,Highlander,2006,273080,Foreign used,D,Petrol,Automatic,BLACK,3818000
Toyota,Highlander,2009,92434,Foreign used,C,Petrol,Automatic,silver,5162000
Honda,Odyssey,2007,258939,Nigerian used,D,Petrol,Automatic,,1410000
Toyota,Camry,2005,191262,Foreign used,E,Petrol,Automatic,BLACK,2362000
Honda,Accord,2008,63653,Nigerian used,C,Petrol,Automatic,Black,1858000
Ford,Focus,2014,0,Nigerian used, ,Petrol,Automatic,Red,2000000
Honda,Accord,2006,248326,Nigerian used, ,Petrol,Automatic,Red,1150000
Mini,Cooper,2008,84048,Nigerian used, ,Petrol,Automatic,Red,2000000
Toyota,Corolla,2004,250347,Nigerian used, ,Petrol,Automatic,,1466000
Toyota,Rav4,2008,1,Nigerian used,E,Petrol,Automatic,GREY,1690000
BMW,3 Series,2006,149130,Foreign used,C,Petrol,Automatic,BLUE,2586000
Toyota,Corolla,2003,205887,Nigerian used,E,Petrol,Automatic,,1130000
Ford,Explorer,2011,43186,Nigerian used,C,Petrol,Automatic,,5162000
Honda,Accord,2018,9413,Foreign used,D,Petrol,Automatic,RED,11210000
Toyota,Avalon,2005,43089,Nigerian used, ,Petrol,Automatic,Black,1018000
Acura,Mdx,2001,311509,Nigerian used,E,Petrol,Automatic,Silver,906000
Toyota,Venza,2010,43839,Nigerian used,D,Petrol,Automatic,GOLD,4882000
Nissan,Pathfinder,2002,97791,Nigerian used,E,Petrol,Automatic,BLACK,906000
Lexus,Rx 330,2004,243562,Nigerian used,C,Petrol,Automatic,,1690000
Honda,Pilot,2003,162874,Foreign used,E,Petrol,Automatic,SILVER,1746000
Hyundai,Sonata,2011,135698,Foreign used, ,Petrol,Automatic,,3930000
Skoda,Fabia,2008,7748,Nigerian used,D,Petrol,Manual,BLUE,514000
Ford,Explorer,2006,64811,Nigerian used,C,Petrol,Automatic,Black,2250000
Toyota,Highlander,2008,172070,Nigerian used,D,Petrol,Automatic,,3594000
Toyota,Fortuner,2017,12552,Nigerian used,A,Petrol,Automatic,BLACK,21290000
Mercedes-Benz,C300,2010,143685,Foreign used,C,Petrol,Automatic,BLACK,3930000
Toyota,Camry,2005,54357,Foreign used, ,Petrol,Automatic,White,2310000
Lexus,Es 350,2009,121312,Foreign used, ,Petrol,Automatic,White,3850500
Toyota,Highlander,2008,61910,Nigerian used, ,Petrol,Automatic,Grey,4725000
Toyota,Venza,2009,104020,Nigerian used,C,Petrol,Automatic,Red,3706000
Toyota,Corolla,2009,149999,Nigerian used, ,Petrol,Automatic,BLACK,2026000
Acura,Rdx,2008,43858,Foreign used,D,Petrol,Automatic,BLACK,3146000
Mercedes-Benz,CLS350,2005,195322,Nigerian used,E,Petrol,Automatic,White,3146000
Toyota,Camry,2007,127849,Nigerian used,C,Petrol,Automatic,Black,2250000
Ford,Explorer,2013,101245,Nigerian used, ,Petrol,Automatic,Black,3706000
Mercedes-Benz,E350,2008,0,Foreign used,,,,,3450000
Suzuki,Forenza,2004,99514,Nigerian used,D,Petrol,Automatic,,738000
Toyota,Highlander,2002,169390,Nigerian used,D,Petrol,Automatic,BLUE,1802000
Lexus,NX,2017,9604,Foreign used,B,Petrol,Automatic,Black,17930000
Toyota,Camry,2013,99085,Nigerian used, ,Petrol,Automatic,Grey,3370000
Lexus,Rx 300,2002,168174,Nigerian used,D,Petrol,Automatic,silver,2026000
Honda,Accord,2014,0,Foreign used,,,,,5050000
Toyota,Camry,2006,271856,Nigerian used,D,Petrol,Automatic,SILVER,1690000
Honda,Hr-V,2002,0,Foreign used,,,,,2100000
Toyota,Avensis,2007,0,Foreign used,,,,,4410000
Nissan,Altima,2003,231979,Nigerian used,E,Petrol,Automatic,Red,402000
