manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Honda,Accord,2008.0,411658.0,Nigerian used,D,Petrol,Automatic,Black,1410000.0
Land Rover,Range Rover HSE,2008.0,167396.0,Nigerian used,E,Petrol,Automatic,BLACK,2586000.0
Kia,K3000,2013.0,113527.0,Foreign used,D,Petrol,Automatic,White,4042000.0
Nissan,Xterra,2006.0,237351.0,Nigerian used,C,Petrol,Automatic,GREY,1354000.0
Toyota,Tacoma,2006.0,122941.0,Nigerian used,D,Petrol,Automatic,BLACK,4154000.0
Lexus,Es 300,2002.0,215064.0,Nigerian used,E,Petrol,Automatic,wine,1242000.0
Toyota,Rav4,1997.0,240167.0,Nigerian used,E,Petrol,Automatic,BLACK,626000.0
Nissan,Altima,2014.0,44140.0,Nigerian used,C,Petrol,Automatic,Grey,5386000.0
Ford,Taurus,2008.0,167869.0,Nigerian used,D,Petrol,Automatic,BLUE,1298000.0
Toyota,Corolla,2009.0,148717.0,Nigerian used,D,Petrol,Manual,Gold,1074000.0
Toyota,Camry,2000.0,236315.0,Nigerian used,D,Petrol,Automatic,GOLD,962000.0
Toyota,Camry,2008.0,121984.0,Nigerian used,D,Petrol,Automatic,Grey (GREY),2250000.0
Toyota,Camry,2007.0,100609.0,Nigerian used,E,Petrol,Automatic,GOLD,1466000.0
Toyota,Camry,1995.0,244360.0,Nigerian used,D,Petrol,Automatic,BLACK,420000.0
Toyota,Camry,2012.0,54247.0,Foreign used,C,Petrol,Automatic,RED,4938000.0
Hyundai,Sonata,2012.0,112051.0,Foreign used,C,Petrol,Automatic,SILVER,3272500.0
Toyota,Corolla,2009.0,141529.0,Nigerian used,E,Petrol,Automatic,Black,2026000.0
Mini,Cooper,2002.0,319211.0,Nigerian used,D,Petrol,Automatic,Blue,1018000.0
Toyota,Highlander,2011.0,68731.0,Nigerian used,C,Petrol,Automatic,Grey,5274000.0
Kia,Sportage,2008.0,147916.0,Nigerian used,E,Petrol,Automatic,black,1354000.0
Honda,Accord Crosstour,2010.0,62233.0,Nigerian used,C,Petrol,Automatic,grey,2026000.0
Toyota,Camry,2002.0,315410.0,Nigerian used,E,Petrol,Automatic,ASH,1018000.0
Lexus,Lx 570,2016.0,11886.0,Foreign used,A,Petrol,Automatic,White,65100000.0
Toyota,Highlander,2004.0,233569.0,Nigerian used,D,Petrol,Automatic,GREEN,1746000.0
Mercedes-Benz,C300,2010.0,141038.0,Foreign used,D,Petrol,Automatic,Black,3594000.0
Nissan,Maxima,2004.0,751123.0,Nigerian used,E,Petrol,Automatic,BLUE,682000.0
Mercedes-Benz,E350,2010.0,65126.0,Nigerian used,C,Petrol,Automatic,BLACK,4490000.0
Audi,A6,2000.0,321967.0,Nigerian used,D,Petrol,Manual,Gray,738000.0
Nissan,Altima,2012.0,190209.0,Nigerian used,C,Petrol,Automatic,RED,2250000.0
Mercedes-Benz,E350,2007.0,86981.0,Nigerian used,D,Petrol,Automatic,BLACK,1802000.0
Toyota,Rav4,2008.0,129937.0,Nigerian used,D,Petrol,Automatic,BLUE,2586000.0
Honda,Accord,2008.0,150026.0,Nigerian used,D,Petrol,Automatic,CUSTOM,1690000.0
Chrysler,Sebring,2004.0,191755.0,Nigerian used,D,Petrol,Automatic,Silver,1130000.0
Lexus,Rx 330,2005.0,126602.0,Nigerian used,E,Petrol,Automatic,silver,2250000.0
Toyota,Avalon,2003.0,206142.0,Nigerian used,C,Petrol,Automatic,Green,1242000.0
Mercedes-Benz,C240,2005.0,208460.0,Nigerian used,E,Petrol,Automatic,BLUE,1354000.0
Chrysler,Town & Country,2005.0,119631.0,Nigerian used,D,Petrol,Automatic,WHITE,570000.0
Toyota,Land Cruiser,2007.0,1544.0,Nigerian used,D,Petrol,Automatic,Black,4490000.0
Toyota,Highlander,2006.0,123480.0,Nigerian used,D,Petrol,Automatic,cream,2250000.0
Mercedes-Benz,GL450,2007.0,122890.0,Nigerian used,D,Petrol,Automatic,Black,3034000.0
Mercedes-Benz,GL450,2013.0,104242.0,Foreign used,D,Electric,Automatic,Black,16810000.0
Toyota,Corolla,2004.0,299999.0,Nigerian used,D,Petrol,Automatic,Grey,1802000.0
Ford,Focus,2016.0,36765.0,Nigerian used,D,Petrol,Automatic,ash,4490000.0
Honda,Accord,2015.0,15489.0,Nigerian used,C,Petrol,Automatic,Grey,4378000.0
Lexus,GX470,2008.0,154032.0,Foreign used,D,Petrol,Automatic,SILVER,7850000.0
Lexus,Gx 470,2005.0,110044.0,Nigerian used,C,Petrol,Automatic,blue,3930000.0
Hyundai,Elantra,2008.0,160243.0,Foreign used,D,Petrol,Automatic,RED,2082000.0
Toyota,Venza,2010.0,168746.0,Nigerian used,C,Petrol,Automatic,Silver,6170000.0
Ford,Explorer,2002.0,275643.0,Nigerian used,D,Petrol,Automatic,WHITE,1130000.0
Toyota,Highlander,2008.0,67400.0,Nigerian used,D,Petrol,Automatic,Wine,5050000.0
Ford,Edge,2009.0,99026.0,Foreign used,D,Petrol,Automatic,WHITE,2250000.0
Hyundai,I10,2019.0,69077.0,Foreign used,C,Petrol,Automatic,GREY,2810000.0
Toyota,Camry,2002.0,190561.0,Nigerian used,D,Petrol,Automatic,BLUE,1466000.0
Toyota,Corolla,2016.0,13470.0,Nigerian used,C,Petrol,Automatic,BLACK,5946000.0
Land Rover,Range Rover Sport,2006.0,192990.0,Nigerian used,C,Petrol,Automatic,WHITE,3370000.0
Toyota,Corolla,2017.0,86714.0,Foreign used,C,Petrol,Automatic,Grey,8970000.0
Volkswagen,Jetta,2003.0,236570.0,Nigerian used,D,Petrol,Automatic,Grey,794000.0
Toyota,Rav4,2007.0,126233.0,Nigerian used,C,Petrol,Automatic,blue,2138000.0
Toyota,Sienna,2008.0,128388.0,Nigerian used,E,Petrol,Automatic,BLUE,1914000.0
Toyota,Camry,2011.0,230545.0,Foreign used,D,Petrol,Automatic,SILVER,3930000.0
Toyota,Highlander,2008.0,104840.0,Nigerian used,E,Petrol,Automatic,silver,2922000.0
Toyota,Sienna,2006.0,320092.0,Nigerian used,E,Petrol,Automatic,Blue,1802000.0
Mercedes-Benz,GL450,2012.0,65444.0,Foreign used,C,Petrol,Automatic,silver,7850000.0
Honda,Accord,2003.0,203100.0,Nigerian used,E,Petrol,Automatic,GREY,682000.0
Lexus,Gx460,2015.0,45889.0,Nigerian used,D,Petrol,Automatic,black,16810000.0
Toyota,Venza,2011.0,70536.0,Nigerian used,C,Petrol,Automatic,BLACK,2978000.0
Mercedes-Benz,C230,2006.0,126999.0,Nigerian used,C,Petrol,Automatic,Black,2698000.0
Toyota,Highlander,2006.0,273080.0,Foreign used,D,Petrol,Automatic,BLACK,3818000.0
Toyota,Highlander,2009.0,92434.0,Foreign used,C,Petrol,Automatic,silver,5162000.0
Honda,Odyssey,2007.0,258939.0,Nigerian used,D,Petrol,Automatic,cream,1410000.0
Toyota,Camry,2005.0,191262.0,Foreign used,E,Petrol,Automatic,BLACK,2362000.0
Honda,Accord,2008.0,63653.0,Nigerian used,C,Petrol,Automatic,Black,1858000.0
Toyota,Rav4,2008.0,1.0,Nigerian used,E,Petrol,Automatic,GREY,1690000.0
BMW,3 Series,2006.0,149130.0,Foreign used,C,Petrol,Automatic,BLUE,2586000.0
Toyota,Corolla,2003.0,205887.0,Nigerian used,E,Petrol,Automatic,blue,1130000.0
Ford,Explorer,2011.0,43186.0,Nigerian used,C,Petrol,Automatic,silver,5162000.0
Honda,Accord,2018.0,9413.0,Foreign used,D,Petrol,Automatic,RED,11210000.0
Acura,Mdx,2001.0,311509.0,Nigerian used,E,Petrol,Automatic,Silver,906000.0
Toyota,Venza,2010.0,43839.0,Nigerian used,D,Petrol,Automatic,GOLD,4882000.0
Nissan,Pathfinder,2002.0,97791.0,Nigerian used,E,Petrol,Automatic,BLACK,906000.0
Lexus,Rx 330,2004.0,243562.0,Nigerian used,C,Petrol,Automatic,white,1690000.0
Honda,Pilot,2003.0,162874.0,Foreign used,E,Petrol,Automatic,SILVER,1746000.0
Skoda,Fabia,2008.0,7748.0,Nigerian used,D,Petrol,Manual,BLUE,514000.0
Ford,Explorer,2006.0,64811.0,Nigerian used,C,Petrol,Automatic,Black,2250000.0
Toyota,Highlander,2008.0,172070.0,Nigerian used,D,Petrol,Automatic,black,3594000.0
Toyota,Fortuner,2017.0,12552.0,Nigerian used,A,Petrol,Automatic,BLACK,21290000.0
Mercedes-Benz,C300,2010.0,143685.0,Foreign used,C,Petrol,Automatic,BLACK,3930000.0
Toyota,Venza,2009.0,104020.0,Nigerian used,C,Petrol,Automatic,Red,3706000.0
Acura,Rdx,2008.0,43858.0,Foreign used,D,Petrol,Automatic,BLACK,3146000.0
Mercedes-Benz,CLS350,2005.0,195322.0,Nigerian used,E,Petrol,Automatic,White,3146000.0
Toyota,Camry,2007.0,127849.0,Nigerian used,C,Petrol,Automatic,Black,2250000.0
Suzuki,Forenza,2004.0,99514.0,Nigerian used,D,Petrol,Automatic,red,738000.0
Toyota,Highlander,2002.0,169390.0,Nigerian used,D,Petrol,Automatic,BLUE,1802000.0
Lexus,NX,2017.0,9604.0,Foreign used,B,Petrol,Automatic,Black,17930000.0
Lexus,Rx 300,2002.0,168174.0,Nigerian used,D,Petrol,Automatic,silver,2026000.0
Toyota,Camry,2006.0,271856.0,Nigerian used,D,Petrol,Automatic,SILVER,1690000.0
Nissan,Altima,2003.0,231979.0,Nigerian used,E,Petrol,Automatic,Red,402000.0
Mercedes-Benz,CLA250,2014.0,100158.0,Nigerian used,C,Petrol,Automatic,WHITE,7626000.0
Hyundai,Sonata,2019.0,19714.0,Nigerian used,C,Petrol,Automatic,brown,8410000.0
Ford,Focus,2003.0,219346.0,Nigerian used,C,Petrol,Manual,Grey,794000.0
Nissan,Sentra,2012.0,287510.0,Nigerian used,D,Petrol,Automatic,GREY,1466000.0
Toyota,Corolla,2008.0,163507.0,Nigerian used,D,Petrol,Automatic,BLACK,1858000.0
Mini,Cooper,2012.0,129994.0,Nigerian used,C,Petrol,Manual,White,5610000.0
Toyota,Camry,2003.0,209800.0,Nigerian used,D,Petrol,Automatic,GOLD,1410000.0
Toyota,Corolla,2009.0,198402.0,Nigerian used,D,Petrol,Automatic,BLACK,1634000.0
Toyota,Corolla,2005.0,134594.0,Nigerian used,C,Petrol,Automatic,gray,1690000.0
Mitsubishi,Pajero,2008.0,0.0,Nigerian used,D,Petrol,Automatic,BLACK,2250000.0
Honda,Civic,2004.0,101256.0,Nigerian used,D,Petrol,Automatic,Blue,659600.0
Toyota,Corolla,2000.0,157615.0,Nigerian used,D,Petrol,Automatic,RED,794000.0
Dodge,Charger,2008.0,105249.0,Nigerian used,E,Petrol,Automatic,black,1130000.0
Nissan,Maxima,2007.0,83648.0,Foreign used,C,Petrol,Automatic,SILVER,1242000.0
Acura,Tl,2004.0,139505.0,Nigerian used,C,Petrol,Automatic,Black,1018000.0
Toyota,Corolla,2002.0,131615.0,Nigerian used,D,Petrol,Automatic,BLUE,850000.0
Honda,Accord,2007.0,148147.0,Nigerian used,D,Petrol,Automatic,BLUE,1242000.0
Infiniti,Qx,2001.0,143177.0,Nigerian used,D,Petrol,Automatic,GOLD,1242000.0
Volkswagen,Sharan,2000.0,231784.0,Foreign used,D,Petrol,Manual,Green,1970000.0
Mercedes-Benz,GL450,2011.0,338216.0,Foreign used,D,Petrol,Automatic,Black,7850000.0
Ford,Edge,2007.0,108642.0,Nigerian used,C,Petrol,Automatic,White,1690000.0
Hyundai,Accent,2008.0,121767.0,Nigerian used,D,Petrol,Manual,gold,626000.0
Mercedes-Benz,Ml350,2014.0,81910.0,Nigerian used,C,Petrol,Automatic,GREY,8522000.0
Toyota,Corolla,2007.0,138146.0,Nigerian used,E,Petrol,Manual,BLACK,682000.0
Lexus,Is 250,2006.0,86331.0,Nigerian used,C,Petrol,Automatic,SILVER,2362000.0
Nissan,Xterra,2007.0,154979.0,Nigerian used,E,Petrol,Automatic,Black,1242000.0
Honda,Odyssey,2006.0,148669.0,Foreign used,C,Petrol,Automatic,Grey,2586000.0
Nissan,Armada,2007.0,63889.0,Nigerian used,D,Petrol,Automatic,dark green,1186000.0
Toyota,4Runner,2000.0,208209.0,Nigerian used,D,Petrol,Automatic,SILVER,794000.0
Volkswagen,Passat,2012.0,59082.0,Nigerian used,C,Petrol,Automatic,black,3090000.0
Honda,Accord,2018.0,28899.0,Nigerian used,C,Petrol,Automatic,black,12330000.0
Mercedes-Benz,E350,2012.0,110935.0,Foreign used,C,Petrol,Automatic,BLACK,7660000.0
Jeep,Cherokee,2005.0,0.0,Nigerian used,D,Petrol,Automatic,blue,5610000.0
Honda,Accord,2007.0,133778.0,Nigerian used,D,Petrol,Automatic,Grey,962000.0
Toyota,Avalon,2006.0,86719.0,Nigerian used,C,Petrol,Automatic,custom,1858000.0
Toyota,Camry,2008.0,233603.0,Nigerian used,E,Petrol,Automatic,BLACK,2026000.0
Honda,Cr-V,2005.0,85995.0,Nigerian used,C,Petrol,Automatic,SILVER,1354000.0
Toyota,Camry,2013.0,149729.0,Nigerian used,E,Petrol,Automatic,WHITE,2922000.0
Lexus,Es 350,2013.0,136283.0,Nigerian used,C,Petrol,Automatic,ash,7140000.0
Toyota,Camry,2008.0,116583.0,Nigerian used,C,Petrol,Automatic,Grey,2138000.0
Nissan,Pathfinder,2005.0,134066.0,Nigerian used,D,Petrol,Automatic,RED,1068400.0
Toyota,Sienna,2005.0,175001.0,Nigerian used,D,Petrol,Automatic,silver,1914000.0
Toyota,Camry,2004.0,116439.0,Foreign used,D,Petrol,Automatic,beige,2138000.0
Nissan,Pathfinder,2002.0,0.0,Nigerian used,D,Petrol,Automatic,silver,794000.0
Honda,Accord,2003.0,91393.0,Nigerian used,D,Petrol,Automatic,BLUE,1074000.0
Lexus,Gx 470,2004.0,94953.0,Nigerian used,E,Petrol,Automatic,BLUE,3370000.0
Toyota,Camry,2013.0,110845.0,Nigerian used,C,Petrol,Automatic,GREY,3370000.0
Nissan,Titan,2007.0,250091.0,Foreign used,C,Petrol,Automatic,RED,4510000.0
Honda,Cr-V,2010.0,286010.0,Foreign used,E,Petrol,Automatic,Black,3146000.0
Ford,Taurus,2011.0,76003.0,Nigerian used,C,Petrol,Automatic,Black,2026000.0
Hyundai,Sonata,2015.0,133217.0,Foreign used,C,Petrol,Automatic,silver,4735000.0
Toyota,Corolla,2009.0,252128.0,Nigerian used,C,Petrol,Automatic,BLACK,2810000.0
Acura,Mdx,2001.0,253471.0,Nigerian used,D,Petrol,Automatic,burgundy,1130000.0
Ford,Escape,2014.0,44357.0,Nigerian used,C,Petrol,Automatic,blue,6730000.0
Ford,Econoline,2006.0,0.0,Foreign used,E,Petrol,Automatic,WHITE,6730000.0
Toyota,Sienna,2004.0,150069.0,Nigerian used,D,Petrol,Automatic,sky blue,1242000.0
Nissan,Rogue,2011.0,157152.0,Nigerian used,C,Petrol,Automatic,SILVER,2362000.0
Hyundai,Elantra,2008.0,94054.0,Nigerian used,C,Petrol,Automatic,BLACK,1466000.0
