manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Toyota,Sienna,2001,251637,Nigerian used,E,Petrol,Automatic,blue,906000,20
Toyota,Camry,2009,145587,Foreign used,E,Petrol,Automatic,black,2922000,12
Infiniti,Qx,2001,88566,Nigerian used,E,Petrol,Automatic,black,794000,20
Toyota,Corolla,2010,122756,Nigerian used,C,Petrol,Automatic,black,2810000,11
Honda,Pilot,2006,128687,Nigerian used,D,Petrol,Automatic,white,1242000,15
Nissan,Altima,2003,239721,Nigerian used,D,Petrol,Automatic,silver,614800,18
Honda,Cr-V,2007,246449,Nigerian used,D,Petrol,Automatic,black,1746000,14
Toyota,Camry,2003,236715,Nigerian used,D,Petrol,Automatic,green,1354000,18
Toyota,Matrix,2006,202238,Nigerian used,D,Petrol,Automatic,silver,1466000,15
Toyota,Corolla,2004,69516,Nigerian used,E,Petrol,Automatic,grey,1466000,17
Infiniti,Fx,2004,178082,Foreign used,D,Petrol,Automatic,gold,1130000,17
Honda,Civic,2006,136485,Nigerian used,E,Petrol,Automatic,blue,1130000,15
Toyota,Rav4,2005,99178,Foreign used,E,Petrol,Automatic,red,1858000,16
Honda,Accord,2010,152417,Nigerian used,C,Petrol,Automatic,ash,1578000,11
Nissan,Titan,2006,188942,Nigerian used,C,Petrol,Automatic,black,2586000,15
Honda,Pilot,2005,98335,Nigerian used,D,Petrol,Automatic,black,2362000,16
Kia,Rio,2020,11673,Nigerian used,C,Petrol,Automatic,red,5946000,1
Toyota,Corolla,2005,233560,Foreign used,D,Petrol,Automatic,red,2810000,16
Lexus,Rx,2006,188211,Foreign used,C,Petrol,Automatic,blue,3706000,15
Mercedes-Benz,C300,2010,116199,Foreign used,C,Petrol,Automatic,silver,4490000,11
Toyota,Camry,2012,177369,Foreign used,D,Petrol,Automatic,sky blue,4714000,9
Acura,Mdx,2007,227584,Nigerian used,D,Petrol,Automatic,silver,2026000,14
