manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Mercedes-Benz,GL450,2011,338216,Foreign used,D,Petrol,Automatic,black,7850000
Ford,Edge,2007,108642,Nigerian used,C,Petrol,Automatic,white,1690000
Hyundai,Accent,2008,121767,Nigerian used,D,Petrol,Manual,gold,626000
Mercedes-Benz,Ml350,2014,81910,Nigerian used,C,Petrol,Automatic,grey,8522000
Toyota,Corolla,2007,138146,Nigerian used,E,Petrol,Manual,black,682000
Lexus,Is 250,2006,86331,Nigerian used,C,Petrol,Automatic,silver,2362000
Nissan,Xterra,2007,154979,Nigerian used,E,Petrol,Automatic,black,1242000
Honda,Odyssey,2006,148669,Foreign used,C,Petrol,Automatic,grey,2586000
Nissan,Armada,2007,63889,Nigerian used,D,Petrol,Automatic,green,1186000
Toyota,4Runner,2000,208209,Nigerian used,D,Petrol,Automatic,silver,794000
Volkswagen,Passat,2012,59082,Nigerian used,C,Petrol,Automatic,black,3090000
Honda,Accord,2018,28899,Nigerian used,C,Petrol,Automatic,black,12330000
Mercedes-Benz,E350,2012,110935,Foreign used,C,Petrol,Automatic,black,7660000
Jeep,Cherokee,2005,0,Nigerian used,D,Petrol,Automatic,blue,5610000
Honda,Accord,2007,133778,Nigerian used,D,Petrol,Automatic,grey,962000
Toyota,Avalon,2006,86719,Nigerian used,C,Petrol,Automatic,beige,1858000
Toyota,Camry,2008,233603,Nigerian used,E,Petrol,Automatic,black,2026000
Honda,Cr-V,2005,85995,Nigerian used,C,Petrol,Automatic,silver,1354000
Toyota,Camry,2013,149729,Nigerian used,E,Petrol,Automatic,white,2922000
Lexus,Es 350,2013,136283,Nigerian used,C,Petrol,Automatic,ash,7140000
Toyota,Camry,2008,116583,Nigerian used,C,Petrol,Automatic,grey,2138000
Nissan,Pathfinder,2005,134066,Nigerian used,D,Petrol,Automatic,red,1068400
Toyota,Sienna,2005,175001,Nigerian used,D,Petrol,Automatic,silver,1914000
Toyota,Camry,2004,116439,Foreign used,D,Petrol,Automatic,beige,2138000
Nissan,Pathfinder,2002,0,Nigerian used,D,Petrol,Automatic,silver,794000
Honda,Accord,2003,91393,Nigerian used,D,Petrol,Automatic,blue,1074000
Lexus,Gx 470,2004,94953,Nigerian used,E,Petrol,Automatic,blue,3370000
Toyota,Camry,2013,110845,Nigerian used,C,Petrol,Automatic,grey,3370000
Nissan,Titan,2007,250091,Foreign used,C,Petrol,Automatic,red,4510000
Honda,Cr-V,2010,286010,Foreign used,E,Petrol,Automatic,black,3146000
Ford,Taurus,2011,76003,Nigerian used,C,Petrol,Automatic,black,2026000
Hyundai,Sonata,2015,133217,Foreign used,C,Petrol,Automatic,silver,4735000
Toyota,Corolla,2009,252128,Nigerian used,C,Petrol,Automatic,black,2810000
Acura,Mdx,2001,253471,Nigerian used,D,Petrol,Automatic,wine,1130000
Ford,Escape,2014,44357,Nigerian used,C,Petrol,Automatic,blue,6730000
Ford,Econoline,2006,0,Foreign used,E,Petrol,Automatic,white,6730000
Toyota,Sienna,2004,150069,Nigerian used,D,Petrol,Automatic,sky blue,1242000
Nissan,Rogue,2011,157152,Nigerian used,C,Petrol,Automatic,silver,2362000
Hyundai,Elantra,2008,94054,Nigerian used,C,Petrol,Automatic,black,1466000
Toyota,Camry,2010,60168,Nigerian used,D,Petrol,Automatic,silver,2250000
Volkswagen,Jetta,1999,117808,Nigerian used,D,Petrol,Automatic,red,536400
Nissan,Maxima,2009,138830,Foreign used,C,Petrol,Automatic,white,2586000
Ford,Edge,2011,162179,Foreign used,C,Petrol,Automatic,red,3818000
Mercedes-Benz,C 240,2001,276543,Nigerian used,E,Petrol,Automatic,blue,794000
Hyundai,Elantra,2011,97960,Foreign used,E,Petrol,Automatic,white,3146000
Acura,Tlx,2004,1,Nigerian used,E,Petrol,Automatic,black,906000
Hyundai,Veloster,2012,117496,Nigerian used,C,Petrol,Automatic,orange,3146000
Toyota,Corolla,2011,86648,Foreign used,D,Petrol,Automatic,silver,3047500
Volkswagen,Sharan,2001,224602,Nigerian used,E,Petrol,Manual,blue,906000
Mazda,626,1999,185890,Nigerian used,E,Petrol,Manual,silver,850000
Lexus,Rx 350,2011,133649,Nigerian used,C,Petrol,Automatic,red,7290000
Mercedes-Benz,GL450,2008,103454,Nigerian used,D,Petrol,Automatic,silver,3034000
Toyota,Highlander,2012,53156,Nigerian used,D,Petrol,Automatic,purple,5610000
Toyota,Rav4,2009,89433,Nigerian used,C,Petrol,Automatic,silver,3370000
Lexus,Es300,1998,244305,Nigerian used,D,Petrol,Automatic,black,592400
Honda,Civic,2007,71614,Nigerian used,D,Petrol,Automatic,grey,984400
Honda,Accord,2006,266453,Foreign used,C,Diesel,Manual,wine,1690000
Toyota,Camry,2012,123574,Foreign used,C,Petrol,Automatic,red,4490000
Chevrolet,Camaro,2015,54173,Nigerian used,D,Petrol,Automatic,black,11210000
Nissan,Altima,2008,168602,Nigerian used,E,Petrol,Automatic,green,1018000
Honda,Accord,2008,108814,Nigerian used,D,Petrol,Automatic,blue,1130000
Audi,Q7,2014,54861,Nigerian used,D,Petrol,Automatic,black,11546000
Toyota,Camry,2008,119217,Foreign used,C,Petrol,Automatic,blue,3258000
Honda,Odyssey,2005,207368,Nigerian used,D,Petrol,Automatic,green,794000
Mercedes-Benz,S350,2006,112124,Foreign used,C,Petrol,Automatic,black,3594000
Honda,Odyssey,2012,88720,Nigerian used,D,Petrol,Automatic,black,2810000
Toyota,Sienna,2004,198032,Nigerian used,D,Petrol,Automatic,blue,2082000
Volkswagen,Passat,2008,83844,Nigerian used,D,Petrol,Automatic,black,1410000
Toyota,Camry,2002,184498,Nigerian used,D,Petrol,Automatic,red,1690000
Honda,Cr-V,2001,170792,Nigerian used,E,Petrol,Automatic,silver,458000
Nissan,Quest,2005,0,Nigerian used,E,Petrol,Automatic,red,570000
Toyota,Venza,2013,163018,Foreign used,C,Petrol,Automatic,black,8970000
Ford,Freestyle,2005,214567,Nigerian used,E,Petrol,Automatic,green,794000
Land Rover,Range Rover Sport,2013,92078,Foreign used,C,Petrol,Automatic,black,11210000
Nissan,Murano,2004,168357,Nigerian used,E,Petrol,Automatic,gold,850000
Honda,Cr-V,2005,338230,Nigerian used,D,Petrol,Automatic,silver,1186000
Hummer,H3,2008,27582,Nigerian used,D,Petrol,Automatic,black,2260000
Ford,Escape,2005,301670,Nigerian used,D,Petrol,Automatic,black,1690000
